--startschedule--
work_time_id,user_id,work_start_date,work_end_date,work_no_end,work_days_with_no_end,work_week_day,work_parity_odd,work_parity_even,work_parity_every,work_parity_1_4,work_parity_2_4,work_parity_3_4,work_parity_4_4,work_location_id,work_start_time,work_end_time
51,3,2020-03-15,2020-12-25,0,0,monday,0,0,0,1,0,0,0,676,07:00:00,13:00:00
53,4,2020-03-16,2022-06-03,1,24,monday,0,0,1,0,0,0,0,706,09:30:00,13:30:00
55,5,2020-02-14,2022-06-03,1,24,wednesday,0,0,1,0,0,0,0,676,09:30:00,13:30:00
56,5,2020-02-14,2022-06-03,1,24,thursday,0,0,1,0,0,0,0,676,09:30:00,13:30:00
57,5,2020-02-14,2022-06-03,1,24,wednesday,0,0,1,0,0,0,0,676,14:00:00,17:30:00
58,5,2020-02-14,2022-06-03,1,24,friday,0,0,1,0,0,0,0,676,09:30:00,13:30:00
59,5,2020-02-14,2022-06-03,1,24,thursday,0,0,1,0,0,0,0,676,14:00:00,17:30:00
60,5,2020-02-14,2022-06-03,1,24,friday,0,0,1,0,0,0,0,676,14:00:00,17:30:00
61,5,2020-02-14,2022-06-03,1,24,saturday,1,0,0,0,0,0,0,676,09:30:00,13:30:00
62,5,2020-02-14,2022-06-03,1,24,saturday,1,0,0,0,0,0,0,676,14:00:00,17:30:00
63,8,2020-04-17,2022-06-03,1,24,tuesday,0,0,1,0,0,0,0,698,10:00:00,14:00:00
64,8,2020-04-17,2022-06-03,1,24,tuesday,0,0,1,0,0,0,0,698,14:30:00,18:00:00
65,8,2020-04-17,2022-06-03,1,24,wednesday,0,0,1,0,0,0,0,701,09:00:00,13:30:00
66,8,2020-04-17,2022-06-03,1,24,wednesday,0,0,1,0,0,0,0,701,14:00:00,18:00:00
67,8,2020-04-17,2022-06-03,1,24,thursday,0,0,1,0,0,0,0,699,11:00:00,14:00:00
68,8,2020-04-17,2022-06-03,1,24,friday,0,0,1,0,0,0,0,698,10:00:00,14:00:00
69,8,2020-04-17,2022-06-03,1,24,friday,0,0,1,0,0,0,0,698,14:30:00,18:00:00
70,8,2020-04-17,2022-06-03,1,24,saturday,0,1,0,0,0,0,0,676,14:00:00,16:00:00
71,8,2020-04-17,2022-06-03,1,24,saturday,0,1,0,0,0,0,0,676,10:00:00,13:30:00
72,8,2020-04-17,2022-06-03,1,24,thursday,0,0,1,0,0,0,0,699,14:30:00,17:00:00
73,4,2020-03-16,2022-06-03,1,24,monday,0,0,1,0,0,0,0,706,14:00:00,17:00:00
74,8,2020-04-17,2022-06-03,1,24,monday,1,0,0,0,0,0,0,676,15:30:00,19:00:00
75,4,2020-03-16,2022-06-03,1,24,tuesday,1,0,0,0,0,0,0,704,10:00:00,13:30:00
